축구부에 지원하는 이유 
어릴때부터 축구를 해왔고 축구외에 다른운동엔 흥미가 없기도하고 저에게 가장 잘맞는 동아리라고 생각되어 심청합니다.
축구를 아주 오랫동안 해서 잘합니다. SSIS에서도 축구부였고 거기서도 아주 잘했습니다. 축구는 팀으로 뛰고 같이 팀워크도 맞추며 다 같이 즐길 수 있는 운동이라 지원하고 싶습니다. 
저는 어릴때부터 축구를 해왔으며 최근 까지도 가장 관심이 있는 스포츠이기 때문입니다. 따라서 10학년전 마지막 1년은 제가 좋아하는 축구를 하고 싶어서 고민한 결과 결국 지원하게 되었습니다.
"축구에 대한 애정과 축구를 할 때에 흥미를 느끼며, 축구에 관심이 많아 경기에 대한 이해도가 높음. 평소에도 친구들 끼리 경기할때 전술과 포메이션을 짜는것을 좋아하며, 축구부원이 된다면 열심히 참여 할 자신이 있음"
동아리 중에서 축구부가 가장 재미있을것 같에서
축구를 보는것과 하는것을 좋아하고 축구 선배님들과 함께 축구해 보고 싶어서
어렸을때 부터 축구를 하는것과 보는것을 좋아해서 축구에 대해 더 자세히 배우고 실력을 키우기 위해 지원하고 싶습니다.
예전부터 축구를 계속 해왔고 7학년까지도 계속 축구를 하고 싶어서
전부터 축구를 자주하고 매우 좋아하기 때문 예전부터 동아리는 축구부로 들어가고 싶었음.
축구를 더욱 전문적으로 하고 싶다
축구가 재미있고 친구들과 재미있게 하고 싶어서
축구를 매우 좋아해서
제가 축구를 좋아해서
"취미가 축구이고 스포츠 중에서 축구를 가장 좋아하고, 축구를 즐겨하기 때문이다. "
축구를 계속하고 싶어서
축구는 제 운동중 제일 좋아하는 스포츠이고 제일 자신이 있어서 지원했습니다.
축구하고 싶어서
예번부터 축구를 하고 좋아했고 지금도 하고싶어서
축구를 좋아하고 제일 좋아하는 스포츠가 축구이기 때문이다.(실수로 하나 채크 안해서 다시 버냅니다)
"어릴때부터 축구를 어느정돈 잘하기도 하고 즐기기도 했고, 가장 큰 관심사가 축구이기에 이번 기회를 통해 학교에서도 축구를 하기 위해 지원했다."
축구가 좋아서
축구가 재미있어서
평소에 운동을 좋아하는데 특히 축구같은 격한 운동을 좋아한다. 축구를 배워 본적은 없지만 이번기회에 해보고 싶다는 생각에 지원.
8학년때 축구에 빠지기 시작했고 친구들이 축구부 하는게 너무 즐거워보여서 신청하게 되었다
예전부터 축구부를 꼭 지원하고싶어했고 꼭 이번년도엔 축구부에서 뛰고싶습니다.
지금까지 가장 자신있고 좋아하는 스포츠가 축구입니다. 그리고 다른 학교들과 축구를 하여 더욱더 축구에 대한 실력을 키우고 싶습니다.열심히 하겠습니다!
어릴때부터 축구를 했고 축구를 하는게 재밌다
축구를 너무 좋아하고 고등학생하고도 차고 어른들 조기축구를 나가서도 차는데 학교에서 축구를 안하면 미칠것 같아 신청하게됬다
축구하는것을 좋아하고 친구들이랑 같이 축구할때 재미있어서
가장 좋아하는 스포츠여서 7학년부터 쭉 축구부를 했습니다 그래서 이번에도 축구부를 하고싶습니다.
예전부터 축구를 너무 좋아했어서.
축구에 관심이 많다 그리고 좋아한다
평소에 축구도 즐겨보고 거의 매주 축구를 하기 때문에 한번 축구부에 지원해 보았다.
1학년 때부터 축구를 해왔고 내가 유일하게 잘하는 스포츠 종목이다
점심시간에 축구를 많이 했는데 잘하진 못해서 한번 해보고 싶다.
축구를 즐겨보고 축구도 많이 하면서 1~2년 동안 지내 왔기 때문이다
축구가 대해 관심을 가지게 되어서 신청합니다
